Age,Attrition,BusinessTravel,Department,DistanceFromHome,EmployeeNumber,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,YearsAtCompany
23,No,Travel_Rarely,Sales,2,113,1,Sales Representative,1,2322,3,0
51,No,Travel_Rarely,Research & Development,9,116,1,Laboratory Technician,4,2075,3,4
30,No,Travel_Rarely,Research & Development,2,117,2,Healthcare Representative,4,4152,1,11
46,Yes,Travel_Rarely,Sales,9,118,3,Sales Executive,4,9619,1,9
40,No,Travel_Frequently,Research & Development,1,119,4,Healthcare Representative,2,13503,1,22
51,No,Travel_Rarely,Sales,21,120,2,Sales Executive,4,5441,0,10
30,No,Travel_Rarely,Sales,4,121,2,Sales Executive,2,5209,1,11
46,No,Travel_Frequently,Research & Development,1,124,3,Healthcare Representative,1,10673,2,10
32,No,Travel_Rarely,Sales,6,125,2,Sales Executive,3,5010,1,11
54,No,Travel_Rarely,Research & Development,2,126,3,Research Director,3,13549,9,4
24,No,Travel_Rarely,Sales,3,128,2,Sales Executive,3,4999,0,3
28,No,Non-Travel,Sales,4,129,2,Sales Executive,3,4221,1,5
58,No,Travel_Rarely,Sales,10,131,4,Sales Executive,3,13872,0,37
44,No,Non-Travel,Research & Development,23,132,2,Laboratory Technician,2,2042,4,3
37,Yes,Travel_Rarely,Human Resources,6,133,1,Human Resources,1,2073,4,3
32,No,Travel_Rarely,Research & Development,1,134,1,Research Scientist,1,2956,1,1
20,Yes,Travel_Frequently,Research & Development,6,137,1,Laboratory Technician,4,2926,1,1
34,No,Travel_Rarely,Research & Development,6,138,2,Research Scientist,3,4809,1,16
37,No,Non-Travel,Research & Development,2,139,2,Healthcare Representative,4,5163,5,1
59,No,Non-Travel,Human Resources,2,140,5,Manager,4,18844,9,3
50,No,Travel_Frequently,Research & Development,1,141,5,Research Director,2,18172,3,8
25,Yes,Travel_Rarely,Sales,5,142,2,Sales Executive,3,5744,1,6
25,No,Travel_Rarely,Research & Development,7,143,1,Research Scientist,4,2889,1,2
22,No,Travel_Rarely,Research & Development,15,144,1,Laboratory Technician,4,2871,1,0
51,No,Travel_Frequently,Research & Development,1,145,3,Healthcare Representative,1,7484,3,13
34,Yes,Travel_Frequently,Research & Development,7,147,2,Laboratory Technician,3,6074,1,9
54,No,Non-Travel,Human Resources,26,148,4,Manager,4,17328,2,5
24,No,Travel_Rarely,Research & Development,18,150,1,Laboratory Technician,3,2774,0,5
34,No,Travel_Rarely,Research & Development,6,151,2,Research Scientist,2,4505,6,1
37,No,Travel_Rarely,Sales,3,152,3,Sales Executive,4,7428,2,5
34,No,Travel_Rarely,Research & Development,5,153,3,Manager,1,11631,2,11
36,No,Travel_Frequently,Sales,11,154,3,Sales Executive,4,9738,0,9
36,No,Travel_Rarely,Research & Development,3,155,1,Laboratory Technician,4,2835,5,1
43,No,Travel_Frequently,Sales,26,158,4,Manager,4,16959,1,25
30,No,Travel_Frequently,Research & Development,23,159,1,Research Scientist,3,2613,1,10
33,No,Non-Travel,Sales,22,160,2,Sales Executive,2,6146,0,7
56,Yes,Travel_Rarely,Research & Development,14,161,1,Research Scientist,2,4963,9,5
51,No,Travel_Rarely,Research & Development,6,162,5,Research Director,3,19537,7,20
31,Yes,Travel_Rarely,Sales,6,163,2,Sales Executive,3,6172,4,7
26,No,Travel_Rarely,Research & Development,6,164,1,Research Scientist,2,2368,1,5
58,Yes,Travel_Rarely,Research & Development,23,165,3,Healthcare Representative,4,10312,1,40
19,Yes,Travel_Rarely,Sales,22,167,1,Sales Representative,3,1675,1,0
22,No,Travel_Rarely,Research & Development,2,169,1,Laboratory Technician,4,2523,0,2
49,No,Travel_Rarely,Research & Development,20,170,2,Manufacturing Director,1,6567,1,15
43,No,Travel_Frequently,Research & Development,28,171,1,Research Scientist,3,4739,4,3
50,No,Travel_Frequently,Sales,12,174,3,Sales Executive,4,9208,4,2
31,Yes,Travel_Rarely,Sales,20,175,2,Sales Executive,3,4559,3,2
41,No,Travel_Rarely,Sales,9,176,3,Sales Executive,3,8189,3,9
26,No,Travel_Rarely,Human Resources,25,177,1,Human Resources,3,2942,1,8
36,No,Travel_Rarely,Research & Development,6,178,2,Manufacturing Director,2,4941,6,3
51,Yes,Travel_Frequently,Research & Development,8,179,3,Manufacturing Director,4,10650,2,4
39,No,Travel_Rarely,Sales,4,182,2,Sales Executive,3,5902,4,15
25,No,Travel_Rarely,Sales,28,183,2,Sales Executive,3,8639,2,2
30,No,Travel_Rarely,Human Resources,9,184,2,Human Resources,4,6347,0,11
32,Yes,Travel_Rarely,Research & Development,9,190,1,Laboratory Technician,1,4200,7,5
45,No,Travel_Rarely,Research & Development,29,192,1,Research Scientist,4,3452,5,6
38,No,Travel_Rarely,Research & Development,3,193,2,Research Scientist,3,4317,3,3
30,No,Travel_Rarely,Research & Development,18,194,1,Research Scientist,3,2632,1,5
32,No,Travel_Frequently,Sales,9,195,2,Sales Executive,4,4668,0,8
30,No,Travel_Rarely,Research & Development,5,197,1,Research Scientist,1,3204,5,3
30,No,Travel_Rarely,Research & Development,2,198,1,Laboratory Technician,4,2720,0,5
41,No,Travel_Frequently,Research & Development,10,199,4,Manager,1,17181,4,7
41,No,Travel_Rarely,Research & Development,9,200,1,Laboratory Technician,1,2238,2,5
19,No,Travel_Rarely,Research & Development,3,201,1,Laboratory Technician,2,1483,1,1
40,No,Travel_Frequently,Research & Development,26,202,2,Research Scientist,2,5605,1,20
35,No,Travel_Rarely,Sales,1,204,3,Sales Executive,2,7295,1,10
53,No,Travel_Rarely,Sales,6,205,2,Sales Representative,3,2306,2,7
45,No,Travel_Rarely,Research & Development,9,206,2,Laboratory Technician,2,2348,8,17
32,No,Travel_Frequently,Sales,8,207,3,Sales Executive,4,8998,1,9
29,No,Non-Travel,Research & Development,1,208,2,Manufacturing Director,3,4319,1,10
51,No,Travel_Rarely,Research & Development,7,211,2,Manufacturing Director,3,6132,2,1
58,No,Travel_Rarely,Research & Development,9,214,1,Research Scientist,2,3346,4,1
40,No,Travel_Rarely,Sales,4,215,3,Sales Executive,4,10855,7,12
34,No,Travel_Frequently,Sales,2,216,1,Sales Representative,3,2231,6,4
22,No,Travel_Rarely,Research & Development,19,217,1,Research Scientist,4,2323,1,2
27,No,Non-Travel,Research & Development,9,218,1,Research Scientist,2,2024,6,2
28,No,Travel_Rarely,Research & Development,21,221,1,Research Scientist,4,2713,1,5
57,No,Travel_Rarely,Research & Development,24,223,3,Healthcare Representative,4,9439,3,5
27,No,Non-Travel,Research & Development,3,224,1,Research Scientist,3,2566,1,1
50,No,Travel_Rarely,Research & Development,11,226,5,Manager,2,19926,3,5
41,No,Travel_Rarely,Research & Development,14,227,1,Research Scientist,3,2451,4,9
30,No,Travel_Rarely,Sales,5,228,3,Sales Executive,4,9419,2,10
38,No,Travel_Rarely,Sales,1,230,2,Sales Executive,4,8686,4,8
32,No,Travel_Rarely,Research & Development,6,231,1,Research Scientist,3,3038,3,5
27,No,Travel_Rarely,Research & Development,17,233,1,Research Scientist,2,3058,0,5
19,Yes,Travel_Frequently,Sales,1,235,1,Sales Representative,1,2325,0,0
36,No,Travel_Frequently,Research & Development,3,238,1,Laboratory Technician,2,2088,4,8
30,No,Non-Travel,Research & Development,9,239,2,Laboratory Technician,1,3072,1,12
45,No,Travel_Rarely,Sales,4,240,2,Sales Executive,1,5006,4,5
56,No,Travel_Rarely,Research & Development,8,241,1,Research Scientist,1,4257,4,2
33,No,Travel_Rarely,Research & Development,2,242,1,Research Scientist,4,2500,0,3
19,Yes,Travel_Rarely,Research & Development,2,243,1,Laboratory Technician,4,1102,1,1
46,No,Travel_Rarely,Sales,1,244,3,Sales Executive,1,10453,1,24
38,No,Travel_Rarely,Research & Development,9,245,1,Laboratory Technician,4,2288,1,2
31,No,Travel_Rarely,Research & Development,12,246,1,Research Scientist,4,3929,8,4
34,No,Travel_Rarely,Research & Development,27,247,1,Research Scientist,2,2311,2,3
41,Yes,Travel_Rarely,Sales,20,248,1,Sales Representative,2,3140,1,4
50,No,Travel_Rarely,Research & Development,1,249,1,Laboratory Technician,3,3690,2,3
53,No,Travel_Rarely,Research & Development,13,250,2,Manufacturing Director,1,4450,1,4
33,No,Travel_Rarely,Research & Development,14,252,1,Research Scientist,2,2756,1,8
40,No,Travel_Rarely,Research & Development,4,253,5,Manager,3,19033,1,20
55,No,Travel_Rarely,Research & Development,14,254,5,Research Director,2,18722,8,24
34,No,Travel_Frequently,Research & Development,2,256,2,Manufacturing Director,3,9547,1,10
51,No,Travel_Rarely,Research & Development,3,258,4,Healthcare Representative,2,13734,3,7
52,No,Travel_Rarely,Research & Development,1,259,5,Manager,3,19999,0,33
27,No,Travel_Rarely,Research & Development,9,260,1,Research Scientist,2,2279,1,7
35,Yes,Travel_Rarely,Research & Development,23,261,2,Manufacturing Director,3,5916,3,1
43,No,Non-Travel,Research & Development,7,262,1,Research Scientist,4,2089,4,5
45,No,Non-Travel,Research & Development,2,264,4,Manager,4,16792,9,20
37,No,Travel_Rarely,Research & Development,21,267,1,Research Scientist,1,3564,1,8
35,No,Travel_Frequently,Research & Development,2,269,2,Laboratory Technician,2,4425,5,6
42,No,Non-Travel,Research & Development,21,270,2,Manufacturing Director,3,5265,2,5
38,No,Travel_Rarely,Research & Development,2,271,2,Manufacturing Director,3,6553,9,1
38,No,Travel_Rarely,Research & Development,29,273,2,Manufacturing Director,4,6261,3,7
27,No,Travel_Frequently,Research & Development,1,274,2,Manufacturing Director,1,4298,5,2
49,No,Non-Travel,Research & Development,18,275,2,Manufacturing Director,4,6804,1,7
34,No,Travel_Frequently,Research & Development,10,277,1,Research Scientist,3,3815,1,5
40,No,Travel_Rarely,Research & Development,19,281,2,Laboratory Technician,4,2741,8,7
38,Yes,Travel_Rarely,Research & Development,29,282,2,Healthcare Representative,1,6673,7,1
29,Yes,Travel_Rarely,Sales,27,283,3,Sales Executive,4,7639,1,10
22,No,Travel_Rarely,Research & Development,5,284,1,Research Scientist,2,2328,1,4
36,No,Travel_Frequently,Research & Development,18,286,1,Laboratory Technician,4,2153,1,8
40,No,Non-Travel,Research & Development,9,287,2,Healthcare Representative,4,4876,9,3
46,No,Travel_Rarely,Research & Development,1,288,3,Healthcare Representative,1,9396,7,4
32,Yes,Travel_Rarely,Sales,4,291,3,Sales Executive,4,10400,1,14
30,No,Non-Travel,Research & Development,1,292,3,Manufacturing Director,3,8474,1,11
27,No,Travel_Frequently,Sales,20,293,2,Sales Executive,3,9981,1,7
51,No,Travel_Rarely,Research & Development,8,296,3,Research Director,2,12490,5,10
30,Yes,Travel_Rarely,Research & Development,3,297,1,Research Scientist,1,2657,5,5
41,No,Travel_Rarely,Sales,6,298,3,Manager,4,13591,3,1
30,Yes,Travel_Frequently,Sales,26,299,2,Sales Executive,1,6696,5,6
29,Yes,Travel_Rarely,Research & Development,1,300,1,Research Scientist,3,2058,0,6
45,No,Non-Travel,Sales,6,302,3,Sales Executive,4,8865,6,19
54,No,Travel_Rarely,Sales,3,303,2,Sales Executive,1,5940,2,6
36,No,Travel_Rarely,Research & Development,5,304,2,Laboratory Technician,2,5914,8,13
33,No,Travel_Rarely,Research & Development,4,305,1,Research Scientist,2,2622,6,3
37,No,Travel_Frequently,Research & Development,11,306,3,Research Director,4,12185,1,10
38,No,Travel_Rarely,Sales,3,307,3,Sales Executive,3,10609,0,16
31,No,Non-Travel,Research & Development,1,308,2,Manufacturing Director,3,4345,0,5
59,No,Travel_Rarely,Research & Development,3,309,1,Research Scientist,4,2177,3,1
37,No,Travel_Frequently,Sales,4,311,1,Sales Representative,4,2793,4,9
29,No,Travel_Frequently,Sales,1,312,3,Sales Executive,4,7918,1,11
35,No,Travel_Frequently,Sales,1,314,3,Sales Executive,3,8789,1,10
29,Yes,Travel_Rarely,Research & Development,18,315,1,Research Scientist,4,2389,1,4
52,No,Travel_Rarely,Research & Development,2,316,1,Laboratory Technician,4,3212,7,2
42,No,Travel_Rarely,Research & Development,4,319,5,Manager,4,19232,1,22
59,No,Travel_Rarely,Human Resources,6,321,1,Human Resources,3,2267,8,2
50,No,Travel_Rarely,Sales,1,323,5,Manager,4,19517,3,7
33,Yes,Travel_Rarely,Research & Development,14,325,1,Laboratory Technician,4,2436,5,5
43,No,Travel_Rarely,Sales,16,327,4,Manager,4,16064,5,17
33,Yes,Travel_Rarely,Research & Development,2,328,1,Laboratory Technician,1,2707,7,9
52,No,Non-Travel,Sales,2,329,5,Manager,3,19068,1,33
32,No,Travel_Rarely,Sales,4,330,1,Sales Representative,2,3931,2,4
32,Yes,Travel_Rarely,Research & Development,1,331,1,Laboratory Technician,3,3730,0,3
39,No,Travel_Rarely,Research & Development,1,332,1,Laboratory Technician,3,2232,7,3
32,No,Non-Travel,Sales,26,333,2,Sales Executive,4,4465,0,3
41,No,Travel_Rarely,Research & Development,19,334,2,Research Scientist,1,3072,2,1
40,No,Travel_Rarely,Research & Development,24,335,2,Research Scientist,4,3319,1,9
45,No,Travel_Rarely,Research & Development,1,336,5,Manager,4,19202,0,24
31,No,Travel_Frequently,Research & Development,3,337,3,Research Director,3,13675,9,2
33,No,Travel_Rarely,Research & Development,5,338,1,Research Scientist,4,2911,1,2
34,No,Travel_Rarely,Research & Development,2,339,2,Manufacturing Director,1,5957,6,11
37,No,Travel_Rarely,Research & Development,1,340,1,Research Scientist,1,3920,2,3
45,No,Travel_Frequently,Research & Development,7,341,2,Manufacturing Director,3,6434,4,3
37,Yes,Travel_Frequently,Research & Development,10,342,3,Manufacturing Director,3,10048,6,1
39,No,Travel_Frequently,Research & Development,2,343,3,Healthcare Representative,3,10938,0,19
29,No,Travel_Rarely,Research & Development,15,346,1,Research Scientist,4,2340,1,6
42,No,Travel_Rarely,Research & Development,17,347,2,Research Scientist,1,6545,3,3
29,No,Travel_Rarely,Sales,20,349,2,Sales Executive,4,6931,2,3
25,No,Travel_Rarely,Research & Development,1,350,2,Manufacturing Director,3,4898,0,4
42,No,Travel_Rarely,Research & Development,2,351,1,Laboratory Technician,1,2593,0,9
40,No,Travel_Rarely,Research & Development,2,352,5,Research Director,3,19436,0,21
51,No,Travel_Rarely,Research & Development,1,353,1,Research Scientist,4,2723,1,1
31,Yes,Travel_Frequently,Research & Development,29,355,1,Laboratory Technician,2,3479,0,5
32,No,Travel_Frequently,Research & Development,7,359,1,Laboratory Technician,2,2794,1,5
38,No,Non-Travel,Sales,2,361,2,Sales Executive,4,5249,3,8
32,No,Travel_Rarely,Research & Development,2,362,2,Laboratory Technician,1,2176,4,6
46,No,Travel_Rarely,Sales,2,363,4,Manager,2,16872,3,7
28,Yes,Travel_Rarely,Research & Development,2,364,1,Laboratory Technician,3,3485,2,0
29,No,Travel_Rarely,Sales,2,366,2,Sales Executive,2,6644,2,0
31,No,Travel_Rarely,Research & Development,23,367,2,Healthcare Representative,4,5582,0,9
25,No,Non-Travel,Research & Development,5,369,2,Healthcare Representative,1,4000,1,6
45,No,Travel_Rarely,Research & Development,20,372,4,Healthcare Representative,4,13496,0,20
36,No,Travel_Rarely,Research & Development,6,373,1,Laboratory Technician,4,3210,0,15
55,No,Travel_Rarely,Research & Development,1,374,5,Manager,1,19045,0,36
47,Yes,Non-Travel,Research & Development,29,376,3,Manager,2,11849,1,10
28,No,Travel_Rarely,Research & Development,9,377,1,Research Scientist,4,2070,1,5
37,No,Travel_Rarely,Sales,6,378,2,Sales Executive,4,6502,4,5
21,No,Travel_Rarely,Research & Development,3,379,1,Research Scientist,3,3230,1,3
37,No,Non-Travel,Research & Development,1,380,3,Research Director,4,13603,2,5
35,No,Travel_Rarely,Research & Development,22,381,3,Manager,2,11996,7,7
38,No,Travel_Rarely,Sales,7,382,2,Sales Executive,1,5605,1,8
26,No,Travel_Frequently,Research & Development,1,384,2,Manufacturing Director,2,6397,1,6
50,No,Travel_Rarely,Research & Development,4,385,5,Research Director,2,19144,3,10
53,No,Travel_Rarely,Research & Development,3,386,4,Research Director,3,17584,3,5
42,No,Travel_Rarely,Sales,1,387,2,Sales Executive,3,4907,1,20
29,No,Travel_Frequently,Sales,2,388,2,Sales Executive,4,4554,1,10
55,No,Travel_Rarely,Research & Development,20,389,2,Laboratory Technician,4,5415,3,10
26,No,Travel_Frequently,Research & Development,11,390,2,Healthcare Representative,1,4741,1,5
37,No,Travel_Rarely,Research & Development,1,391,1,Research Scientist,4,2115,1,17
44,Yes,Travel_Frequently,Research & Development,24,392,1,Laboratory Technician,3,3161,3,1
38,No,Travel_Rarely,Research & Development,23,393,2,Healthcare Representative,4,5745,9,2
26,Yes,Travel_Rarely,Research & Development,16,394,1,Laboratory Technician,2,2373,2,3
28,No,Travel_Rarely,Research & Development,8,395,1,Research Scientist,4,3310,1,5
49,No,Travel_Frequently,Research & Development,10,396,5,Research Director,1,18665,9,3
36,No,Travel_Rarely,Research & Development,3,397,2,Research Scientist,2,4485,4,8
31,No,Travel_Frequently,Sales,5,399,1,Sales Representative,2,2789,1,2
26,Yes,Travel_Rarely,Sales,4,401,2,Sales Executive,4,5828,1,8
37,No,Travel_Frequently,Research & Development,9,403,1,Research Scientist,4,2326,1,4
42,No,Travel_Frequently,Sales,26,404,4,Sales Executive,2,13525,5,20
18,Yes,Travel_Rarely,Research & Development,3,405,1,Laboratory Technician,3,1420,1,0
35,No,Travel_Rarely,Sales,16,406,3,Sales Executive,2,8020,0,11
36,No,Travel_Frequently,Research & Development,18,407,1,Laboratory Technician,4,3688,4,1
51,No,Travel_Rarely,Research & Development,2,408,2,Manufacturing Director,2,5482,5,4
41,No,Travel_Rarely,Sales,2,410,4,Manager,2,16015,1,22
18,No,Travel_Rarely,Sales,10,411,1,Sales Representative,3,1200,1,0
28,No,Travel_Rarely,Research & Development,16,412,2,Healthcare Representative,1,5661,0,8
31,No,Travel_Rarely,Sales,7,416,2,Sales Executive,4,6929,4,8
39,No,Travel_Rarely,Research & Development,1,417,3,Healthcare Representative,4,9613,0,18
36,No,Non-Travel,Research & Development,24,419,2,Laboratory Technician,2,5674,7,9
32,No,Travel_Rarely,Sales,7,420,2,Sales Executive,3,5484,1,13
38,No,Travel_Rarely,Research & Development,25,421,3,Research Director,2,12061,3,10
58,No,Non-Travel,Research & Development,1,422,2,Healthcare Representative,3,5660,2,5
31,No,Travel_Rarely,Research & Development,5,423,1,Research Scientist,4,4821,0,5
31,No,Travel_Rarely,Human Resources,2,424,2,Human Resources,1,6410,3,2
45,No,Travel_Frequently,Research & Development,7,425,3,Laboratory Technician,1,5210,1,24
31,No,Travel_Rarely,Research & Development,2,426,1,Research Scientist,4,2695,0,2
33,No,Travel_Frequently,Research & Development,5,428,3,Manager,2,11878,6,10
39,No,Travel_Rarely,Research & Development,10,429,4,Manager,1,17068,1,21
43,No,Travel_Frequently,Research & Development,10,430,1,Laboratory Technician,4,2455,0,8
49,No,Travel_Rarely,Research & Development,1,431,4,Healthcare Representative,3,13964,7,7
52,Yes,Travel_Rarely,Research & Development,8,433,2,Research Scientist,2,4941,2,8
27,No,Travel_Rarely,Research & Development,5,434,1,Research Scientist,2,2478,1,4
32,No,Travel_Rarely,Sales,8,436,2,Sales Executive,2,5228,1,13
27,No,Travel_Rarely,Sales,2,437,2,Sales Executive,3,4478,1,5
31,No,Travel_Rarely,Sales,7,438,2,Sales Executive,4,7547,4,7
32,No,Travel_Rarely,Research & Development,2,439,2,Research Scientist,4,5055,7,7
28,Yes,Travel_Rarely,Research & Development,2,440,1,Research Scientist,4,3464,5,3
30,No,Travel_Rarely,Research & Development,28,441,2,Research Scientist,4,5775,1,10
31,No,Travel_Frequently,Research & Development,7,442,3,Manufacturing Director,3,8943,1,10
39,No,Travel_Frequently,Research & Development,7,444,5,Manager,4,19272,1,21
39,Yes,Travel_Rarely,Sales,3,445,2,Sales Executive,3,5238,4,1
33,No,Travel_Frequently,Sales,10,446,2,Sales Executive,4,4682,3,7
47,No,Travel_Rarely,Research & Development,5,447,5,Research Director,3,18300,4,3
43,No,Travel_Frequently,Research & Development,10,448,2,Laboratory Technician,3,5257,1,9
27,No,Non-Travel,Sales,1,449,2,Sales Executive,2,6349,0,5
54,No,Travel_Frequently,Research & Development,20,450,2,Research Scientist,3,4869,3,4
43,No,Travel_Rarely,Research & Development,7,451,3,Healthcare Representative,1,9985,8,1
45,No,Travel_Rarely,Research & Development,8,452,2,Research Scientist,4,3697,9,10
40,No,Travel_Rarely,Sales,1,453,2,Sales Executive,4,7457,2,4
29,Yes,Travel_Rarely,Research & Development,8,454,1,Laboratory Technician,1,2119,1,7
